Directorio,¿Juega videojuegos?,¿Con qué frecuencia?
3086683,2,0
3086683,2,0
3086684,2,0
3086684,2,0
3086684,2,0
3086685,2,0
3086686,1,2
3086686,2,0
3086686,2,0
3086687,2,0
3086688,1,3
3086688,2,0
3086690,2,0
3086691,2,0
3086692,2,0
3086692,2,0
3086692,2,0
3086693,1,2
3086694,2,0
3086694,2,0
3086694,2,0
3086695,2,0
3086695,2,0
3086695,2,0
3086696,2,0
3086697,2,0
3086698,2,0
3086698,2,0
3086699,2,0
3086700,1,2
3086700,2,0
3086701,1,2
3086701,1,4
3086701,2,0
3086701,2,0
3086701,2,0
3086701,2,0
3086701,2,0
3086701,2,0
3086702,1,2
3086702,2,0
3086702,2,0
3086703,2,0
3086703,2,0
3086705,2,0
3086705,2,0
3086705,2,0
3086706,1,2
3086706,2,0
3086707,1,1
3086707,2,0
3086707,2,0
3086708,1,2
3086708,1,3
3086708,2,0
3086708,2,0
3086710,1,1
3086710,1,1
3086710,1,2
3086711,2,0
3086711,2,0
3086712,2,0
3086712,2,0
3086712,2,0
3086713,2,0
3086713,2,0
3086713,2,0
3086713,2,0
3086714,1,2
3086714,2,0
3086714,2,0
3086714,2,0
3086715,1,3
3086715,1,4
3086715,2,0
3086715,2,0
3086716,2,0
3086717,2,0
3086718,2,0
3086718,2,0
3086719,1,1
3086720,2,0
3086721,1,2
3086721,2,0
3086721,2,0
3086721,2,0
3086722,2,0
3086722,2,0
3086722,2,0
3086724,2,0
3086724,2,0
3086724,2,0
3086725,2,0
3086726,2,0
3086727,2,0
3086727,2,0
3086727,2,0
3086727,2,0
3086728,1,3
3086728,2,0
3086728,2,0
3086728,2,0
3086729,1,1
3086729,1,2
3086729,2,0
3086729,2,0
3086729,2,0
3086730,2,0
3086730,2,0
3086731,2,0
3086731,2,0
3086731,2,0
3086732,2,0
3086734,2,0
3086734,2,0
3086734,2,0
3086735,2,0
3086735,2,0
3086737,1,2
3086737,1,2
3086737,2,0
3086738,2,0
3086738,2,0
3086738,2,0
3086738,2,0
3086738,2,0
3086739,2,0
3086739,2,0
3086740,2,0
3086740,2,0
3086740,2,0
3086741,2,0
3086741,2,0
3086743,2,0
3086744,2,0
3086744,2,0
3086746,2,0
3086748,2,0
3086748,2,0
3086749,1,2
3086749,2,0
3086749,2,0
3086749,2,0
3086749,2,0
3086750,2,0
3086750,2,0
3086750,2,0
3086751,2,0
3086751,2,0
3086752,2,0
3086752,2,0
3086752,2,0
3086753,1,1
